"Make","Model","Type","MSRP","MPG_City","MPG_Highway"
"Acura","MDX","SUV","$36,945",17,23
"Acura","RSX Type S 2dr","Sedan","$23,820",24,31
"Acura","TSX 4dr","Sedan","$26,990",22,29
"Acura","TL 4dr","Sedan","$33,195",20,28
"Acura","3.5 RL 4dr","Sedan","$43,755",18,24
"Acura","3.5 RL w/Navigation 4dr","Sedan","$46,100",18,24
"Acura","NSX coupe 2dr manual S","Sports","$89,765",17,24
"Audi","A4 1.8T 4dr","Sedan","$25,940",22,31
"Audi","A41.8T convertible 2dr","Sedan","$35,940",23,30
"Audi","A4 3.0 4dr","Sedan","$31,840",20,28
"Audi","A4 3.0 Quattro 4dr manual","Sedan","$33,430",17,26
"Audi","A4 3.0 Quattro 4dr auto","Sedan","$34,480",18,25
"Audi","A6 3.0 4dr","Sedan","$36,640",20,27
"Audi","A6 3.0 Quattro 4dr","Sedan","$39,640",18,25
"Audi","A4 3.0 convertible 2dr","Sedan","$42,490",20,27
"Audi","A4 3.0 Quattro convertible 2dr","Sedan","$44,240",18,25
"Audi","A6 2.7 Turbo Quattro 4dr","Sedan","$42,840",18,25
"Audi","A6 4.2 Quattro 4dr","Sedan","$49,690",17,24
"Audi","A8 L Quattro 4dr","Sedan","$69,190",17,24
"Audi","S4 Quattro 4dr","Sedan","$48,040",14,20
"Audi","RS 6 4dr","Sports","$84,600",15,22
"Audi","TT 1.8 convertible 2dr (coupe)","Sports","$35,940",20,28
"Audi","TT 1.8 Quattro 2dr (convertible)","Sports","$37,390",20,28
"Audi","TT 3.2 coupe 2dr (convertible)","Sports","$40,590",21,29
"Audi","A6 3.0 Avant Quattro","Wagon","$40,840",18,25
"Audi","S4 Avant Quattro","Wagon","$49,090",15,21
"BMW","X3 3.0i","SUV","$37,000",16,23
"BMW","X5 4.4i","SUV","$52,195",16,22
"BMW","325i 4dr","Sedan","$28,495",20,29
"BMW","325Ci 2dr","Sedan","$30,795",20,29
"BMW","325Ci convertible 2dr","Sedan","$37,995",19,27
"BMW","325xi 4dr","Sedan","$30,245",19,27
"BMW","330i 4dr","Sedan","$35,495",20,30
"BMW","330Ci 2dr","Sedan","$36,995",20,30
"BMW","330xi 4dr","Sedan","$37,245",20,29
"BMW","525i 4dr","Sedan","$39,995",19,28
"BMW","330Ci convertible 2dr","Sedan","$44,295",19,28
"BMW","530i 4dr","Sedan","$44,995",20,30
"BMW","545iA 4dr","Sedan","$54,995",18,26
"BMW","745i 4dr","Sedan","$69,195",18,26
"BMW","745Li 4dr","Sedan","$73,195",18,26
"BMW","M3 coupe 2dr","Sports","$48,195",16,24
"BMW","M3 convertible 2dr","Sports","$56,595",16,23
"BMW","Z4 convertible 2.5i 2dr","Sports","$33,895",20,28
"BMW","Z4 convertible 3.0i 2dr","Sports","$41,045",21,29
"BMW","325xi Sport","Wagon","$32,845",19,26
"Buick","Rainier","SUV","$37,895",15,21
"Buick","Rendezvous CX","SUV","$26,545",19,26
"Buick","Century Custom 4dr","Sedan","$22,180",20,30
"Buick","LeSabre Custom 4dr","Sedan","$26,470",20,29
"Buick","Regal LS 4dr","Sedan","$24,895",20,30
"Buick","Regal GS 4dr","Sedan","$28,345",18,28
"Buick","LeSabre Limited 4dr","Sedan","$32,245",20,29
"Buick","Park Avenue 4dr","Sedan","$35,545",20,29
"Buick","Park Avenue Ultra 4dr","Sedan","$40,720",18,28
"Cadillac","Escalade","SUV","$52,795",14,18
"Cadillac","SRX V8","SUV","$46,995",16,21
"Cadillac","CTS VVT 4dr","Sedan","$30,835",18,25
"Cadillac","Deville 4dr","Sedan","$45,445",18,26
"Cadillac","Deville DTS 4dr","Sedan","$50,595",18,26
"Cadillac","Seville SLS 4dr","Sedan","$47,955",18,26
"Cadillac","XLR convertible 2dr","Sports","$76,200",17,25
"Cadillac","Escalade EXT","Truck","$52,975",13,17
"Chevrolet","Suburban 1500 LT","SUV","$42,735",14,18
"Chevrolet","Tahoe LT","SUV","$41,465",14,18
"Chevrolet","TrailBlazer LT","SUV","$30,295",16,21
"Chevrolet","Tracker","SUV","$20,255",19,22
"Chevrolet","Aveo 4dr","Sedan","$11,690",28,34
"Chevrolet","Aveo LS 4dr hatch","Sedan","$12,585",28,34
"Chevrolet","Cavalier 2dr","Sedan","$14,610",26,37
"Chevrolet","Cavalier 4dr","Sedan","$14,810",26,37
"Chevrolet","Cavalier LS 2dr","Sedan","$16,385",26,37
"Chevrolet","Impala 4dr","Sedan","$21,900",21,32
"Chevrolet","Malibu 4dr","Sedan","$18,995",24,34
"Chevrolet","Malibu LS 4dr","Sedan","$20,370",22,30
"Chevrolet","Monte Carlo LS 2dr","Sedan","$21,825",21,32
"Chevrolet","Impala LS 4dr","Sedan","$25,000",20,30
"Chevrolet","Impala SS 4dr","Sedan","$27,995",18,28
"Chevrolet","Malibu LT 4dr","Sedan","$23,495",23,32
"Chevrolet","Monte Carlo SS 2dr","Sedan","$24,225",18,28
"Chevrolet","Astro","Sedan","$26,395",14,17
"Chevrolet","Venture LS","Sedan","$27,020",19,26
"Chevrolet","Corvette 2dr","Sports","$44,535",18,25
"Chevrolet","Corvette convertible 2dr","Sports","$51,535",18,25
"Chevrolet","Avalanche 1500","Truck","$36,100",14,18
"Chevrolet","Colorado Z85","Truck","$18,760",18,23
"Chevrolet","Silverado 1500 Regular Cab","Truck","$20,310",15,21
"Chevrolet","Silverado SS","Truck","$40,340",13,17
"Chevrolet","SSR","Truck","$41,995",16,19
"Chevrolet","Malibu Maxx LS","Wagon","$22,225",22,30
"Chrysler","PT Cruiser 4dr","Sedan","$17,985",22,29
"Chrysler","PT Cruiser Limited 4dr","Sedan","$22,000",22,29
"Chrysler","Sebring 4dr","Sedan","$19,090",22,30
"Chrysler","Sebring Touring 4dr","Sedan","$21,840",21,28
"Chrysler","300M 4dr","Sedan","$29,865",18,27
"Chrysler","Concorde LX 4dr","Sedan","$24,130",21,29
"Chrysler","Concorde LXi 4dr","Sedan","$26,860",19,27
"Chrysler","PT Cruiser GT 4dr","Sedan","$25,955",21,27
"Chrysler","Sebring convertible 2dr","Sedan","$25,215",22,30
"Chrysler","300M Special Edition 4dr","Sedan","$33,295",18,27
"Chrysler","Sebring Limited convertible 2dr","Sedan","$30,950",21,28
"Chrysler","Town and Country LX","Sedan","$27,490",19,26
"Chrysler","Town and Country Limited","Sedan","$38,380",18,25
"Chrysler","Crossfire 2dr","Sports","$34,495",17,25
"Chrysler","Pacifica","Wagon","$31,230",17,23
"Dodge","Durango SLT","SUV","$32,235",15,21
"Dodge","Neon SE 4dr","Sedan","$13,670",29,36
"Dodge","Neon SXT 4dr","Sedan","$15,040",29,36
"Dodge","Intrepid SE 4dr","Sedan","$22,035",21,29
"Dodge","Stratus SXT 4dr","Sedan","$18,820",21,28
"Dodge","Stratus SE 4dr","Sedan","$20,220",21,28
"Dodge","Intrepid ES 4dr","Sedan","$24,885",18,27
"Dodge","Caravan SE","Sedan","$21,795",20,26
"Dodge","Grand Caravan SXT","Sedan","$32,660",18,25
"Dodge","Viper SRT-10 convertible 2dr","Sports","$81,795",12,20
"Dodge","Dakota Regular Cab","Truck","$17,630",16,22
"Dodge","Dakota Club Cab","Truck","$20,300",16,22
"Dodge","Ram 1500 Regular Cab ST","Truck","$20,215",16,21
"Ford","Excursion 6.8 XLT","SUV","$41,475",10,13
"Ford","Expedition 4.6 XLT","SUV","$34,560",15,19
"Ford","Explorer XLT V6","SUV","$29,670",15,20
"Ford","Escape XLS","SUV","$22,515",18,23
"Ford","Focus ZX3 2dr hatch","Sedan","$13,270",26,33
"Ford","Focus LX 4dr","Sedan","$13,730",27,36
"Ford","Focus SE 4dr","Sedan","$15,460",26,33
"Ford","Focus ZX5 5dr","Sedan","$15,580",26,33
"Ford","Focus SVT 2dr","Sedan","$19,135",21,28
"Ford","Taurus LX 4dr","Sedan","$20,320",20,27
"Ford","Taurus SES Duratec 4dr","Sedan","$22,735",19,26
"Ford","Crown Victoria 4dr","Sedan","$24,345",17,25
"Ford","Crown Victoria LX 4dr","Sedan","$27,370",17,25
"Ford","Crown Victoria LX Sport 4dr","Sedan","$30,315",17,25
"Ford","Freestar SE","Sedan","$26,930",17,23
"Ford","Mustang 2dr (convertible)","Sports","$18,345",20,29
"Ford","Mustang GT Premium convertible 2dr","Sports","$29,380",17,25
"Ford","Thunderbird Deluxe convert w/hardtop 2d","Sports","$37,530",17,24
"Ford","F-150 Regular Cab XL","Truck","$22,010",15,19
"Ford","F-150 Supercab Lariat","Truck","$33,540",14,18
"Ford","Ranger 2.3 XL Regular Cab","Truck","$14,385",24,29
"Ford","Focus ZTW","Wagon","$17,475",26,33
"Ford","Taurus SE","Wagon","$22,290",19,26
"GMC","Envoy XUV SLE","SUV","$31,890",15,19
"GMC","Yukon 1500 SLE","SUV","$35,725",16,19
"GMC","Yukon XL 2500 SLT","SUV","$46,265",13,17
"GMC","Safari SLE","Sedan","$25,640",16,20
"GMC","Canyon Z85 SL Regular Cab","Truck","$16,530",18,25
"GMC","Sierra Extended Cab 1500","Truck","$25,717",17,20
"GMC","Sierra HD 2500","Truck","$29,322",13,18
"GMC","Sonoma Crew Cab","Truck","$25,395",15,19
"Honda","Civic Hybrid 4dr manual (gas/electric)","Hybrid","$20,140",46,51
"Honda","Insight 2dr (gas/electric)","Hybrid","$19,110",60,66
"Honda","Pilot LX","SUV","$27,560",17,22
"Honda","CR-V LX","SUV","$19,860",21,25
"Honda","Element LX","SUV","$18,690",21,24
"Honda","Civic DX 2dr","Sedan","$13,270",32,38
"Honda","Civic HX 2dr","Sedan","$14,170",36,44
"Honda","Civic LX 4dr","Sedan","$15,850",32,38
"Honda","Accord LX 2dr","Sedan","$19,860",26,34
"Honda","Accord EX 2dr","Sedan","$22,260",26,34
"Honda","Civic EX 4dr","Sedan","$17,750",32,37
"Honda","Civic Si 2dr hatch","Sedan","$19,490",26,30
"Honda","Accord LX V6 4dr","Sedan","$23,760",21,30
"Honda","Accord EX V6 2dr","Sedan","$26,960",21,30
"Honda","Odyssey LX","Sedan","$24,950",18,25
"Honda","Odyssey EX","Sedan","$27,450",18,25
"Honda","S2000 convertible 2dr","Sports","$33,260",20,25
"Hummer","H2","SUV","$49,995",10,12
"Hyundai","Santa Fe GLS","SUV","$21,589",20,26
"Hyundai","Accent 2dr hatch","Sedan","$10,539",29,33
"Hyundai","Accent GL 4dr","Sedan","$11,839",29,33
"Hyundai","Accent GT 2dr hatch","Sedan","$11,939",29,33
"Hyundai","Elantra GLS 4dr","Sedan","$13,839",26,34
"Hyundai","Elantra GT 4dr","Sedan","$15,389",26,34
"Hyundai","Elantra GT 4dr hatch","Sedan","$15,389",26,34
"Hyundai","Sonata GLS 4dr","Sedan","$19,339",19,27
"Hyundai","Sonata LX 4dr","Sedan","$20,339",19,27
"Hyundai","XG350 4dr","Sedan","$24,589",17,26
"Hyundai","XG350 L 4dr","Sedan","$26,189",17,26
"Hyundai","Tiburon GT V6 2dr","Sports","$18,739",19,26
"Infiniti","G35 4dr","Sedan","$28,495",18,26
"Infiniti","G35 Sport Coupe 2dr","Sedan","$29,795",18,26
"Infiniti","G35 4dr","Sedan","$32,445",18,26
"Infiniti","I35 4dr","Sedan","$31,145",19,26
"Infiniti","M45 4dr","Sedan","$42,845",17,23
"Infiniti","Q45 Luxury 4dr","Sedan","$52,545",17,23
"Infiniti","FX35","Wagon","$34,895",16,22
"Infiniti","FX45","Wagon","$36,395",15,19
"Isuzu","Ascender S","SUV","$31,849",15,20
"Isuzu","Rodeo S","SUV","$20,449",17,21
"Jaguar","X-Type 2.5 4dr","Sedan","$29,995",18,26
"Jaguar","X-Type 3.0 4dr","Sedan","$33,995",18,25
"Jaguar","S-Type 3.0 4dr","Sedan","$43,895",18,26
"Jaguar","S-Type 4.2 4dr","Sedan","$49,995",18,28
"Jaguar","S-Type R 4dr","Sedan","$63,120",17,24
"Jaguar","Vanden Plas 4dr","Sedan","$68,995",18,28
"Jaguar","XJ8 4dr","Sedan","$59,995",18,28
"Jaguar","XJR 4dr","Sedan","$74,995",17,24
"Jaguar","XK8 coupe 2dr","Sports","$69,995",18,26
"Jaguar","XK8 convertible 2dr","Sports","$74,995",18,26
"Jaguar","XKR coupe 2dr","Sports","$81,995",16,23
"Jaguar","XKR convertible 2dr","Sports","$86,995",16,23
"Jeep","Grand Cherokee Laredo","SUV","$27,905",16,21
"Jeep","Liberty Sport","SUV","$20,130",20,24
"Jeep","Wrangler Sahara convertible 2dr","SUV","$25,520",16,19
